Metric,KNN,Random Forest,Difference,Winner
Accuracy,0.6907894736842105,0.722165991902834,0.03137651821862353,Random Forest
F1-Score,0.691880988401412,0.72089476359939,0.029013775197977987,Random Forest
Precision,0.6880641925777332,0.7227319062181448,0.034667713640411546,Random Forest
Recall,0.6957403651115619,0.7190669371196755,0.02332657200811361,Random Forest
