Metric,LogReg Baseline,KNN,Random Forest,Winner,Best_Score
Accuracy,0.7160931174089069,0.6907894736842105,0.722165991902834,Random Forest,0.722165991902834
F1-Score,0.7176648213387016,0.691880988401412,0.72089476359939,Random Forest,0.72089476359939
Precision,0.7122877122877123,0.6880641925777332,0.7227319062181448,Random Forest,0.7227319062181448
Recall,0.7231237322515213,0.6957403651115619,0.7190669371196755,LogReg Baseline,0.7231237322515213
ROC-AUC,0.8057624930850082,0.7515971069723606,0.8037095088819227,LogReg Baseline,0.8057624930850082
