Model,Accuracy,F1_Score,Precision,Recall,ROC_AUC,Decision_Rule
LogReg Baseline,0.7160931174089069,0.7176648213387016,0.7122877122877123,0.7231237322515213,0.8057624930850082,
KNN,0.6907894736842105,0.691880988401412,0.6880641925777332,0.6957403651115619,0.7515971069723606,
Random Forest,0.722165991902834,0.72089476359939,0.7227319062181448,0.7190669371196755,0.8037095088819227,
Winner (Random Forest by F1),0.722165991902834,0.72089476359939,0.7227319062181448,0.7190669371196755,0.8037095088819227,Highest F1-score wins (Accuracy used only as tie-breaker)
